id,brand,model,year,source_country,mileage_min,mileage_max,source_marketplace,target_country,target_marketplace,target_search_url,pricing_strategy,last_computed_target_export_price_eur,last_computed_target_export_price_at,notes,source_search_url
MS_MERCEDESBENZ_CLASSEA_2022_FR,MERCEDES-BENZ,CLASSE A,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=MERCEDES-BENZ&u_car_model=MERCEDES-BENZ_Classe%20A&gearbox=2&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc
MS_MERCEDESBENZ_CLASSEC_2022_FR,MERCEDES-BENZ,CLASSE C,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=MERCEDES-BENZ&u_car_model=MERCEDES-BENZ_Classe%20C&gearbox=2&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc
MS_MERCEDESBENZ_CLASSEE_2022_FR,MERCEDES-BENZ,CLASSE E,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=MERCEDES-BENZ&u_car_model=MERCEDES-BENZ_Classe%20E&gearbox=2&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc
MS_MERCEDESBENZ_CLASSES_2022_FR,MERCEDES-BENZ,CLASSE S,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=MERCEDES-BENZ&u_car_model=MERCEDES-BENZ_Classe%20S&gearbox=2&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc
MS_MERCEDESBENZ_CLASSEB_2022_FR,MERCEDES-BENZ,Classe B,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=MERCEDES-BENZ&u_car_model=MERCEDES-BENZ_Classe+B&gearbox=2&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc&kst=k
MS_MERCEDESBENZ_CLASSECLA_2022_FR,MERCEDES-BENZ,Classe Cla,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=MERCEDES-BENZ&u_car_model=MERCEDES-BENZ_Classe%20CLA&gearbox=2&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc
MS_MERCEDESBENZ_CLASSEGLA_2022_FR,MERCEDES-BENZ,Classe Gla,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=MERCEDES-BENZ&u_car_model=MERCEDES-BENZ_Classe%20GLA&gearbox=2&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc
MS_MERCEDESBENZ_CLASSEGLC_2022_FR,MERCEDES-BENZ,Classe Glc,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=MERCEDES-BENZ&u_car_model=MERCEDES-BENZ_Classe%20GLC&gearbox=2&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc
MS_MERCEDESBENZ_CLASSEGLE_2022_FR,MERCEDES-BENZ,Classe Gle,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=MERCEDES-BENZ&u_car_model=MERCEDES-BENZ_Classe%20GLE&gearbox=2&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc
MS_NISSAN_JUKE_2022_FR,NISSAN,JUKE,2022,FR,59000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=NISSAN&u_car_model=NISSAN_Juke&fuel=6&regdate=2022-max&mileage=min-59000&sort=price&order=asc&kst=k
MS_NISSAN_QASHQAI_2022_FR,NISSAN,QASHQAI,2022,FR,59000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=NISSAN&u_car_model=NISSAN_Qashqai&fuel=6&regdate=2022-max&mileage=min-59000&sort=price&order=asc&kst=k
MS_NISSAN_XTRAIL_2022_FR,NISSAN,X-TRAIL,2022,FR,59000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=NISSAN&u_car_model=NISSAN_X-Trail&fuel=6&regdate=2022-max&mileage=min-59000&sort=price&order=asc&kst=k
MS_PEUGEOT_2008_2021_FR,PEUGEOT,2008,2021,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=PEUGEOT&u_car_model=PEUGEOT_2008&fuel=6&regdate=2021-max&mileage=min-50000&sort=price&order=asc
MS_PEUGEOT_308_2021_FR,PEUGEOT,308,2021,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=PEUGEOT&u_car_model=PEUGEOT_308&fuel=6&regdate=2021-max&mileage=min-50000&sort=price&order=asc
MS_PEUGEOT_508_2021_FR,PEUGEOT,508,2021,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&text=PSE&u_car_brand=PEUGEOT&u_car_model=PEUGEOT_508&fuel=6&mileage=min-40000&regdate=2021-max&sort=price&order=asc
MS_PORSCHE_911_2006_FR,PORSCHE,911,2006,FR,90000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=PORSCHE&u_car_model=PORSCHE_911&fuel=1&regdate=2006-max&mileage=min-90000&horse_power_din=34-max&sort=price&order=asc
MS_RENAULT_ARKANA_2022_FR,RENAULT,ARKANA,2022,FR,0,40001,marktplaats,,,,,,,,https://www.marktplaats.nl/l/auto-s/renault/f/arkana+hybride-elektrisch-benzine/13786+13838/#mileageTo:40001%7CconstructionYearFrom:2022%7CconstructionYearTo:2022%7CsortBy:PRICE%7CsortOrder:INCREASING
MS_RENAULT_AUSTRAL_2022_FR,RENAULT,AUSTRAL,2022,FR,35000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=RENAULT&u_car_model=RENAULT_Austral&fuel=6&gearbox=2&regdate=2022-2022&mileage=min-35000&sort=price&order=asc
MS_RENAULT_AUSTRAL_2023_FR,RENAULT,AUSTRAL,2023,FR,35000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=RENAULT&u_car_model=RENAULT_Austral&fuel=6&gearbox=2&regdate=2023-2023&mileage=min-35000&sort=price&order=asc
MS_RENAULT_CAPTUR_2022_FR,RENAULT,CAPTUR,2022,FR,35000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=RENAULT&u_car_model=RENAULT_Captur&fuel=6&gearbox=2&regdate=2022-max&mileage=min-35000&sort=price&order=asc
MS_RENAULT_CLIO_2022_FR,RENAULT,CLIO,2022,FR,35000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=RENAULT&u_car_model=RENAULT_Clio&fuel=6&gearbox=2&regdate=2022-2022&mileage=min-35000&sort=price&order=asc
MS_RENAULT_CLIO_2023_FR,RENAULT,CLIO,2023,FR,35000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=RENAULT&u_car_model=RENAULT_Clio&fuel=6&gearbox=2&regdate=2023-2023&mileage=min-35000&sort=price&order=asc
MS_RENAULT_CAPTUR_2023_FR,RENAULT,Captur,2023,FR,35000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=RENAULT&u_car_model=RENAULT_Captur&fuel=6&gearbox=2&regdate=2023-2023&mileage=min-35000&sort=price&order=asc
MS_SUZUKI_IGNIS_2018_FR,SUZUKI,IGNIS,2018,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=SUZUKI&u_car_model=SUZUKI_Ignis&fuel=6&mileage=min-50000&regdate=2018-2018&sort=price&order=asc
MS_SUZUKI_IGNIS_2019_FR,SUZUKI,IGNIS,2019,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=SUZUKI&u_car_model=SUZUKI_Ignis&fuel=6&mileage=min-50000&regdate=2019-2019&sort=price&order=asc
MS_SUZUKI_IGNIS_2022_FR,SUZUKI,IGNIS,2022,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=SUZUKI&u_car_model=SUZUKI_Ignis&fuel=6&mileage=min-50000&regdate=2022-2022&sort=price&order=asc
MS_SUZUKI_IGNIS_2023_FR,SUZUKI,IGNIS,2023,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=SUZUKI&u_car_model=SUZUKI_Ignis&fuel=6&mileage=min-50000&regdate=2023-2023&sort=price&order=asc
MS_SUZUKI_IGNIS_2024_FR,SUZUKI,IGNIS,2024,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=SUZUKI&u_car_model=SUZUKI_Ignis&fuel=6&mileage=min-50000&regdate=2024-2024&sort=price&order=asc
MS_SUZUKI_SCROSS_2019_FR,SUZUKI,S CROSS,2019,FR,50000,0,leboncoin,,,,,,,,"https://www.leboncoin.fr/recherche?category=2&u_car_brand=SUZUKI&u_car_model=SUZUKI_S-Cross&fuel=6,1&mileage=min-50000&regdate=2019-2019&sort=price&order=asc"
MS_SUZUKI_SWIFT_2018_FR,SUZUKI,SWIFT,2018,FR,0,50001,marktplaats,,,,,,,,https://www.marktplaats.nl/l/auto-s/suzuki/f/swift/1215/#mileageTo:50001%7CconstructionYearFrom:2018%7CconstructionYearTo:2018%7CsortBy:PRICE%7CsortOrder:INCREASING
MS_SUZUKI_SWIFT_2021_FR,SUZUKI,SWIFT,2021,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=SUZUKI&u_car_model=SUZUKI_Swift&fuel=6&mileage=min-50000&regdate=2021-2021&sort=price&order=asc
MS_SUZUKI_SWIFT_2023_FR,SUZUKI,SWIFT,2023,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=SUZUKI&u_car_model=SUZUKI_Swift&fuel=6&mileage=min-50000&regdate=2023-2023&sort=price&order=asc
MS_SUZUKI_VITARA_2017_FR,SUZUKI,VITARA,2017,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=SUZUKI&u_car_model=SUZUKI_Vitara&fuel=1&mileage=min-50000&regdate=2017-2017&sort=price&order=asc
MS_SUZUKI_VITARA_2018_FR,SUZUKI,VITARA,2018,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=SUZUKI&u_car_model=SUZUKI_Vitara&fuel=1&mileage=min-50000&regdate=2018-2018&sort=price&order=asc
MS_SUZUKI_VITARA_2019_FR,SUZUKI,VITARA,2019,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=SUZUKI&u_car_model=SUZUKI_Vitara&fuel=1&mileage=min-50000&regdate=2019-2019&sort=price&order=asc
MS_SUZUKI_VITARA_2020_FR,SUZUKI,VITARA,2020,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=SUZUKI&u_car_model=SUZUKI_Vitara&fuel=6&mileage=min-50000&regdate=2020-2020&sort=price&order=asc
MS_SUZUKI_VITARA_2021_FR,SUZUKI,VITARA,2021,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=SUZUKI&u_car_model=SUZUKI_Vitara&fuel=6&mileage=min-50000&regdate=2021-2021&sort=price&order=asc
MS_SUZUKI_VITARA_2022_FR,SUZUKI,VITARA,2022,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=SUZUKI&u_car_model=SUZUKI_Vitara&fuel=6&mileage=min-50000&regdate=2022-2022&sort=price&order=asc
MS_TOYOTA_AURIS_2017_FR,TOYOTA,AURIS,2017,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Auris&fuel=6&regdate=2017-2017&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_AURIS_2018_FR,TOYOTA,AURIS,2018,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Auris&fuel=6&regdate=2018-2018&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_AURIS_2018_FR,TOYOTA,AURIS,2018,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Auris&fuel=6&regdate=2018-2018&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_AYGO_2017_FR,TOYOTA,AYGO,2017,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Aygo&fuel=1&mileage=min-50000&regdate=2017-2022&sort=price&order=asc
MS_TOYOTA_AURISTOURINGSPORTS_2017_FR,TOYOTA,Auris Touring Sports,2017,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Auris%20Touring%20Sports&fuel=6&mileage=min-50000&regdate=2017-2017&sort=price&order=asc
MS_TOYOTA_AURISTOURINGSPORTS_2018_FR,TOYOTA,Auris Touring Sports,2018,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Auris%20Touring%20Sports&fuel=6&mileage=min-50000&regdate=2018-2018&sort=price&order=asc
MS_TOYOTA_AURISTOURINGSPORTS_2019_FR,TOYOTA,Auris Touring Sports,2019,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Auris%20Touring%20Sports&fuel=6&mileage=min-50000&regdate=2019-2019&sort=price&order=asc
MS_TOYOTA_CHR_2017_FR,TOYOTA,CHR,2017,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_C-HR&fuel=6&mileage=min-50000&regdate=2017-2017&sort=price&order=asc
MS_TOYOTA_CHR_2018_FR,TOYOTA,CHR,2018,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_C-HR&fuel=6&mileage=min-50000&regdate=2018-2018&sort=price&order=asc
MS_TOYOTA_CHR_2019_FR,TOYOTA,CHR,2019,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_C-HR&fuel=6&mileage=min-50000&regdate=2019-2019&sort=price&order=asc
MS_TOYOTA_CHR_2020_FR,TOYOTA,CHR,2020,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_C-HR&fuel=6&mileage=min-50000&regdate=2020-2020&sort=price&order=asc
MS_TOYOTA_CHR_2021_FR,TOYOTA,CHR,2021,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_C-HR&fuel=6&mileage=min-50000&regdate=2021-2021&sort=price&order=asc
MS_TOYOTA_CHR_2022_FR,TOYOTA,CHR,2022,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_C-HR&fuel=6&mileage=min-50000&regdate=2022-2022&sort=price&order=asc
MS_TOYOTA_CHR_2023_FR,TOYOTA,CHR,2023,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_C-HR&fuel=6&regdate=2023-2023&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_COROLLA_2022_FR,TOYOTA,COROLLA,2022,FR,30000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Corolla&fuel=6&vehicle_type=berline&regdate=2022-2022&mileage=min-30000&sort=price&order=asc
MS_TOYOTA_COROLLA_2023_FR,TOYOTA,COROLLA,2023,FR,30000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Corolla&fuel=6&vehicle_type=berline&regdate=2023-2023&mileage=min-30000&sort=price&order=asc
MS_TOYOTA_COROLLA_2019_FR,TOYOTA,Corolla,2019,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&text=TOURING%20SPORT&u_car_brand=TOYOTA&u_car_model=TOYOTA_Corolla&fuel=6&regdate=2019-2019&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_COROLLA_2020_FR,TOYOTA,Corolla,2020,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&text=TOURING%20SPORT&u_car_brand=TOYOTA&u_car_model=TOYOTA_Corolla&fuel=6&regdate=2020-2020&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_COROLLA_2021_FR,TOYOTA,Corolla,2021,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&text=TOURING%20SPORT&u_car_brand=TOYOTA&u_car_model=TOYOTA_Corolla&fuel=6&regdate=2021-2021&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_COROLLA_2022_FR,TOYOTA,Corolla,2022,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&text=TOURING%20SPORT&u_car_brand=TOYOTA&u_car_model=TOYOTA_Corolla&fuel=6&regdate=2022-2022&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_COROLLA_2023_FR,TOYOTA,Corolla,2023,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&text=CROSS&u_car_brand=TOYOTA&u_car_model=TOYOTA_Corolla&fuel=6&mileage=min-50000&regdate=2023-2023&sort=price&order=asc
MS_TOYOTA_PRIUS_2017_FR,TOYOTA,PRIUS,2017,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Prius&fuel=6&regdate=2017-2017&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_PRIUS_2018_FR,TOYOTA,PRIUS,2018,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Prius&fuel=6&regdate=2018-2018&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_PRIUS_2019_FR,TOYOTA,PRIUS,2019,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Prius&fuel=6&regdate=2019-2019&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_PRIUS_2020_FR,TOYOTA,PRIUS,2020,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Prius&fuel=6&regdate=2020-2020&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_PRIUS_2021_FR,TOYOTA,PRIUS,2021,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Prius&fuel=6&regdate=2021-2021&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_PRIUS_2022_FR,TOYOTA,PRIUS,2022,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Prius&fuel=6&regdate=2022-2022&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_PRIUS_2023_FR,TOYOTA,PRIUS,2023,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Prius&fuel=6&regdate=2023-2023&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_RAV4_2017_FR,TOYOTA,RAV 4,2017,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_RAV4&fuel=6&regdate=2017-2017&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_RAV4_2021_FR,TOYOTA,RAV 4,2021,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_RAV4&fuel=6&regdate=2021-2021&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_RAV4_2022_FR,TOYOTA,RAV 4,2022,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_RAV4&fuel=6&regdate=2022-2022&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_RAV4_2023_FR,TOYOTA,RAV 4,2023,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_RAV4&fuel=6&regdate=2023-2023&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_RAV4_2018_FR,TOYOTA,RAV4,2018,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_RAV4&fuel=6&regdate=2018-2018&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_RAV4_2020_FR,TOYOTA,RAV4,2020,FR,30000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_RAV4&fuel=6&regdate=2020-2020&mileage=min-30000&sort=price&order=asc
MS_TOYOTA_YARIS_2018_FR,TOYOTA,YARIS,2018,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Yaris&fuel=6&mileage=min-50000&regdate=2018-2018&sort=price&order=asc
MS_TOYOTA_YARIS_2019_FR,TOYOTA,YARIS,2019,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Yaris&fuel=6&mileage=min-50000&regdate=2019-2019&sort=price&order=asc
MS_TOYOTA_YARIS_2020_FR,TOYOTA,YARIS,2020,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Yaris&fuel=6&mileage=min-50000&regdate=2020-2020&sort=price&order=asc
MS_TOYOTA_YARIS_2021_FR,TOYOTA,YARIS,2021,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Yaris&fuel=6&mileage=min-50000&regdate=2021-2021&sort=price&order=asc
MS_TOYOTA_YARIS_2022_FR,TOYOTA,YARIS,2022,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Yaris&fuel=6&mileage=min-50000&regdate=2022-2022&sort=price&order=asc
MS_TOYOTA_YARIS_2023_FR,TOYOTA,YARIS,2023,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Yaris&fuel=6&mileage=min-50000&regdate=2023-2023&sort=price&order=asc
MS_TOYOTA_YARISCROSS_2021_FR,TOYOTA,YARIS CROSS,2021,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Yaris%20Cross&fuel=6&regdate=2021-2021&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_YARISCROSS_2022_FR,TOYOTA,YARIS CROSS,2022,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Yaris%20Cross&fuel=6&regdate=2022-2022&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_YARISCROSS_2022_FR,TOYOTA,YARIS CROSS,2022,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=TOYOTA&u_car_model=TOYOTA_Yaris%20Cross&fuel=6&regdate=2022-2023&mileage=min-50000&sort=price&order=asc
MS_TOYOTA_YARIS_2021_FR,TOYOTA,Yaris,2021,FR,35000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&text=iconic&u_car_brand=TOYOTA&u_car_model=TOYOTA_Yaris&fuel=6&regdate=2021-max&mileage=min-35000&sort=price&order=asc
MS_TOYOTA_YARIS_2022_FR,TOYOTA,Yaris,2022,FR,35000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&text=iconic&u_car_brand=TOYOTA&u_car_model=TOYOTA_Yaris&fuel=6&regdate=2022-max&mileage=min-35000&sort=price&order=asc
MS_TOYOTA_YARIS_2023_FR,TOYOTA,Yaris,2023,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&text=GR&u_car_brand=TOYOTA&u_car_model=TOYOTA_Yaris&fuel=6&mileage=min-50000&regdate=2023-2023&sort=price&order=asc
MS_TOYOTA_YARISCROSS_2023_FR,TOYOTA,Yaris Cross,2023,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&text=GR&u_car_brand=TOYOTA&u_car_model=TOYOTA_Yaris%20Cross&fuel=6&regdate=2023-2023&mileage=min-50000&sort=price&order=asc
MS_VOLKSWAGEN_GOLF_2022_FR,VOLKSWAGEN,GOLF,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=VOLKSWAGEN&u_car_model=VOLKSWAGEN_Golf&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc
MS_VOLKSWAGEN_MULTIVAN_2022_FR,VOLKSWAGEN,MULTIVAN,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=VOLKSWAGEN&u_car_model=VOLKSWAGEN_Multivan&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc
MS_VOLKSWAGEN_TIGUAN_2021_FR,VOLKSWAGEN,TIGUAN,2021,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=VOLKSWAGEN&u_car_model=VOLKSWAGEN_Tiguan&fuel=6&regdate=2021-2021&mileage=min-40000&sort=price&order=asc&kst=k
MS_VOLKSWAGEN_TIGUAN_2022_FR,VOLKSWAGEN,TIGUAN,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=VOLKSWAGEN&u_car_model=VOLKSWAGEN_Tiguan&fuel=6&regdate=2022-max&mileage=min-40000&sort=price&order=asc
MS_VOLKSWAGEN_TOUAREG_2021_FR,VOLKSWAGEN,TOUAREG,2021,FR,50000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=VOLKSWAGEN&u_car_model=VOLKSWAGEN_Touareg&fuel=6&regdate=2021-max&mileage=min-50000&sort=price&order=asc
MS_AUDI_A3_2022_NL,AUDI,A3,2022,NL,0,40001,marktplaats,,,,,,,,https://www.marktplaats.nl/l/auto-s/audi/f/a3+hybride-elektrisch-benzine/560+13838/#constructionYearFrom:2022%7CmileageTo:40001%7CsortBy:PRICE%7CsortOrder:INCREASING
