id,brand,model,year,source_country,mileage_min,mileage_max,source_marketplace,target_country,target_marketplace,target_search_url,pricing_strategy,last_computed_target_export_price_eur,last_computed_target_export_price_at,notes,source_search_url
MS_HYUNDAI_TUCSON_2021_FR,HYUNDAI,TUCSON,2021,FR,20000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=HYUNDAI&u_car_model=HYUNDAI_Tucson&fuel=6&regdate=2021-2021&mileage=min-20000&sort=price&order=asc
MS_HYUNDAI_TUCSON_2021_FR,HYUNDAI,TUCSON,2021,FR,20000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&text=N%20LINE&u_car_brand=HYUNDAI&u_car_model=HYUNDAI_Tucson&fuel=6&regdate=2021-2021&mileage=min-20000&sort=price&order=asc
MS_HYUNDAI_TUCSON_2021_FR,HYUNDAI,TUCSON,2021,FR,20000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&text=EXECUTIVE&u_car_brand=HYUNDAI&u_car_model=HYUNDAI_Tucson&fuel=6&regdate=2021-2021&mileage=min-20000&sort=price&order=asc
MS_HYUNDAI_TUCSON_2022_FR,HYUNDAI,TUCSON,2022,FR,20000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=HYUNDAI&u_car_model=HYUNDAI_Tucson&fuel=6&regdate=2022-2022&mileage=min-20000&sort=price&order=asc
MS_HYUNDAI_TUCSON_2022_FR,HYUNDAI,TUCSON,2022,FR,20000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&text=N%20LINE&u_car_brand=HYUNDAI&u_car_model=HYUNDAI_Tucson&fuel=6&regdate=2022-2022&mileage=min-20000&sort=price&order=asc
MS_HYUNDAI_TUCSON_2022_FR,HYUNDAI,TUCSON,2022,FR,20000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&text=EXECUTIVE&u_car_brand=HYUNDAI&u_car_model=HYUNDAI_Tucson&fuel=6&regdate=2022-2022&mileage=min-20000&sort=price&order=asc
MS_JEEP_COMPASS_2023_FR,JEEP,COMPASS,2023,FR,35000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=JEEP&u_car_model=JEEP_Compass&fuel=6&regdate=2023-max&mileage=min-35000&horse_power_din=180-max&sort=price&order=asc
MS_JEEP_RENEGADE_2023_FR,JEEP,RENEGADE,2023,FR,35000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=JEEP&u_car_model=JEEP_Renegade&fuel=6&regdate=2023-max&mileage=min-35000&horse_power_din=170-max&sort=price&order=asc
MS_JEEP_RENEGADE_2023_FR,JEEP,RENEGADE,2023,FR,0,0,lacentrale,,,,,,,,https://www.lacentrale.fr/listing?energies=plug_hyb&makesModelsCommercialNames=JEEP%3ARENEGADE&sortBy=priceAsc&yearMin=2023
MS_KIA_CEED_2017_FR,KIA,CEED,2017,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Ceed&regdate=2017-2017&mileage=min-40000&sort=price&order=asc
MS_KIA_CEED_2018_FR,KIA,CEED,2018,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Ceed&regdate=2018-2018&mileage=min-40000&sort=price&order=asc
